Title,Category,Best Paper
Incorporating Behavioral Constraints in Online AI Systems,AI,False
Outlier Aware Network Embedding for Attributed Networks,AI,False
Comparative Document Summarisation via Classification,AI,False
ColNet: Embedding the Semantics of Web Tables for Column Type Prediction,AI,False
Improving One-Class Collaborative Filtering via Ranking-Based Implicit Regularizer,AI,False
Answer Identification from Product Reviews for User Questions by Multi-Task Attentive Networks,AI,False
Dynamic Explainable Recommendation Based on Neural Attentive Models,AI,False
DeepCF: A Unified Framework of Representation Learning and Matching Function Learning in Recommender System,AI,False
TableSense: Spreadsheet Table Detection with Convolutional Neural Networks,AI,False
Triple Classification Using Regions and Fine-Grained Entity Typing,AI,False
Dynamic Layer Aggregation for Neural Machine Translation with Routing-by-Agreement,AI,False
Deeply Fusing Reviews and Contents for Cold Start Users in Cross-Domain Recommendation Systems,AI,False
Feature Sampling Based Unsupervised Semantic Clustering for Real Web Multi-View Content,AI,False
Cooperative Multimodal Approach to Depression Detection in Twitter,AI,False
Anchors Bring Ease: An Embarrassingly Simple Approach to Partial Multi-View Clustering,AI,False
Y2Seq2Seq: Cross-Modal Representation Learning for 3D Shape and Text by Joint Reconstruction and Prediction of View and Word Sequences,AI,False
Learning to Align Question and Answer Utterances in Customer Service Conversation with Recurrent Pointer Networks,AI,False
Exploiting Background Knowledge in Compact Answer Generation for Why-Questions,AI,False
Graph Convolutional Networks Meet Markov Random Fields: Semi-Supervised Community Detection in Attribute Networks,AI,False
Incorporating Network Embedding into Markov Random Field for Better Community Detection,AI,False
Crawling the Community Structure of Multiplex Networks,AI,False
Coupled CycleGAN: Unsupervised Hashing Network for Cross-Modal Retrieval,AI,False
Supervised User Ranking in Signed Social Networks,AI,False
Personalized Question Routing via Heterogeneous Network Embedding,AI,False
Popularity Prediction on Online Articles with Deep Fusion of Temporal Process and Content Features,AI,False
Discrete Social Recommendation,AI,False
SNR: Sub-Network Routing for Flexible Parameter Sharing in Multi-Task Learning,AI,False
DTMT: A Novel Deep Transition Architecture for Neural Machine Translation,AI,False
Multi-Perspective Relevance Matching with Hierarchical ConvNets for Social Media Search,AI,False
Unsupervised Neural Machine Translation with SMT as Posterior Regularization,AI,False
Mining Entity Synonyms with Efficient Neural Set Generation,AI,False
Surveys without Questions: A Reinforcement Learning Approach,AI,False
ATP: Directed Graph Embedding with Asymmetric Transitivity Preservation,AI,False
Learning from Web Data Using Adversarial Discriminative Neural Networks for Fine-Grained Classification,AI,False
