Title,Category,Best Paper
Lift-and-Shift: Obtaining Simulation Extractable Subversion and Updatable SNARKs Generically,Security,False
Oracle simulation: a technique for protocol composition with long term shared secrets,Security,False
PPE Circuits: Formal Definition to Software Automation,Security,False
Gotta Catch'Em All: Using Honeypots to Catch Adversarial Attacks on Neural Networks,Security,False
A Qualitative Study of Dependency Management and Its Security Implications,Security,False
VisualPhishNet: Zero-Day Phishing Website Detection by Visual Similarity,Security,False
A Generic Technique for Automatically Finding Defense-Aware Code Reuse Attacks,Security,False
Security Analysis and Implementation of Relay-Resistant Contactless Payments,Security,False
MuSig-DN: Two-Round Schnorr Multi-Signatures with Verifiably Deterministic Nonces,Security,False
LEAF: A Faster Secure Search Algorithm via Localization, Extraction, and Reconstruction,Security,False
GAN-Leaks: A Taxonomy of Membership Inference Attacks against Generative Models,Security,False
DECO: Liberating Web Data Using Decentralized Oracles for TLS,Security,False
PDiff: Semantic-based Patch Presence Testing for Downstream Kernels,Security,False
TEMPEST Comeback: A Realistic Audio Eavesdropping Threat on Mixed-signal SoCs,Security,False
Private Summation in the Multi-Message Shuffle Model,Security,False
ACE: Asynchronous and Concurrent Execution of Complex Smart Contracts,Security,False
Pointproofs: Aggregating Proofs for Multiple Vector Commitments,Security,False
Bypassing Tor Exit Blocking with Exit Bridge Onion Services,Security,False
InSpectre: Breaking and Fixing Microarchitectural Vulnerabilities by Formal Analysis,Security,False
BDoS: Blockchain Denial-of-Service Attacks,Security,False
Methodologies for Quantifying (Re-)randomization Security and Timing under JIT-ROP,Security,False
Cyber-Physical Inconsistency Vulnerability Identification for Safety Checks in Robotic Vehicles,Security,False
eThor: Practical and Provably Sound Static Analysis of Ethereum Smart Contracts,Security,False
Devil is Virtual: Reversing Virtual Inheritance in C++ Binaries,Security,False
Talking with Familiar Strangers: An Empirical Study on HTTPS Context Confusion Attacks,Security,False
A Tale of Evil Twins: Adversarial Inputs versus Poisoned Models,Security,False
When the Differences in Frequency Domain are Compensated: Understanding and Defeating Modulated Replay Attacks on Automatic Speech Recognition,Security,False
Demystifying Resource Management Risks in Emerging Mobile App-in-App Ecosystems,Security,False
Exaggerated Error Handling Hurts! An In-Depth Study and Context-Aware Detection,Security,False
Lies in the Air: Characterizing Fake-base-station Spam Ecosystem in China,Security,False
Text Captcha Is Dead? A Large Scale Deployment and Empirical Study,Security,False
R^2DP: A Universal and Automated Approach to Optimizing the Randomization Mechanisms of Differential Privacy for Utility Metrics with No Known Optimal Distributions,Security,False
SQUIRREL: Testing Database Management Systems with Language Validity and Coverage Feedback,Security,False
"Blinder -- Scalable, Robust Anonymous Committed Broadcast",Security,False
Dumbo: Faster Asynchronous BFT Protocols,Security,False
Verifiable Timed Signatures Made Practical,Security,False
"A Performant, Misuse-Resistant API for Primality Testing",Security,False
TRUSTORE: Side-Channel Resistant Storage for SGX using Intel Hybrid CPU-FPGA,Security,False
Threshold Password-Hardened Encryption Services,Security,False
Privaros: A Framework for Privacy-Compliant Delivery Drones,Security,False
PMForce: Systematically Analyzing postMessage Handlers at Scale,Security,False
Forensic Analysis in Access Control: Foundations and a Case-Study from Practice,Security,False
DeepDyve: Dynamic Verification for Deep Neural Networks,Security,False
LadderLeak: Breaking ECDSA With Less Than One Bit Of Nonce Leakage,Security,False
Dangerous Skills Got Certified: Measuring the Trustworthiness of Skill Certification in Voice Personal Assistant Platforms,Security,False
Logging to the Danger Zone: Race Condition Attacks and Defenses on System Audit Frameworks,Security,False
FREEDOM: Engineering a State-of-the-Art DOM Fuzzer,Security,False
Zombie Awakening: Stealthy Hijacking of Active Domains Through DNS Hosting Referral,Security,False
VAHunt: Warding Off New Repackaged Android Malware in App-Virtualization's Clothing,Security,False
PatchScope: Memory Object Centric Patch Diffing,Security,False
Slimium: Debloating the Chromium Browser with Feature Subsetting,Security,False
You've Changed: Detecting Malicious Browser Extensions through their Update Deltas,Security,False
Implementing the Exponential Mechanism with Base-2 Differential Privacy,Security,False
FirmRay: Detecting BLE Link Layer Vulnerabilities from Configurations in Bare-Metal Firmware,Security,False
Finding Cracks in Shields: On the Security of Control Flow Integrity Mechanisms,Security,False
The Boon and Bane of Cross-Signing: Shedding Light on a Common Practice in Public Key Infrastructures,Security,False
Information Leakage in Embedding Models,Security,False
The Cookie Hunter: Automated Black-box Auditing for Web Authentication and Authorization Flaws,Security,False
"Deploying Android Security Updates: An Extensive Study Involving Manufacturers, Carriers, and End Users",Security,False
Fill in the Blanks: Empirical Analysis of the Privacy Threats of Browser Form Autofill,Security,False
QuantumHammer: A Practical Hybrid Attack on the LUOV Signature Scheme,Security,False
Minimal Symmetric PAKE and 1-out-of-N OT from Programmable-Once Public Functions,Security,False
Usage Patterns of Privacy-Enhancing Technologies,Security,False
"AdvPulse: Universal, Synchronization-free, and Targeted Audio Adversarial Attacks via Subsecond Perturbations",Security,False
Security of Streaming Encryption in Google's Tink Library,Security,False
CrypTFlow2: Practical 2-Party Secure Inference,Security,False
ProMACs: Progressive and Resynchronizing MACs for Continuous Efficient Authentication of Message Streams,Security,False
MP-SPDZ: A Versatile Framework for Multi-Party Computation,Security,False
Full Database Reconstruction in Two Dimensions,Security,False
Post-quantum TLS without handshake signatures,Security,False
Ferret: Fast Extension for Correlated OT with Small Communication,Security,False
Poking a Hole in the Wall: Efficient Censorship-Resistant Internet Communications by Parasitizing on WebRTC,Security,False
Examining Mirai's Battle over the Internet of Things,Security,False
A Forensically Sound Method of Identifying Downloaders and Uploaders in Freenet,Security,False
Zero Knowledge Proofs for Decision Tree Predictions and Accuracy,Security,False
TrafficSliver: Fighting Website Fingerprinting Attacks with Traffic Splitting,Security,False
HACL×N: Verified Generic SIMD Crypto (for all your favourite platforms),Security,False
Mitigation of Attacks on Email End-to-End Encryption,Security,False
CLAPS: Client-Location-Aware Path Selection in Tor,Security,False
Analyzing Information Leakage of Updates to Natural Language Models,Security,False
A Systematic Study of Elastic Objects in Kernel Exploitation,Security,False
"Definitive recommendations for stronger, more usable passwords combining minimum-strength, minimum-length, and blacklist requirements",Security,False
Clone Detection in Secure Messaging: Improving Post-Compromise Security in Practice,Security,False
DNS Cache Poisoning Attack Reloaded: Revolutions With Side Channels,Security,True
Towards Attribution in Mobile Markets: Identifying Developer Account Polymorphism,Security,False
CheckDP: An Automated and Integrated Approach for Proving Differential Privacy or Finding Precise Counterexamples,Security,False
"Censored Planet: An Internet-wide, Longitudinal Censorship Observatory",Security,False
A 2.1 KHz Zero-Knowledge Processor with BubbleRAM,Security,False
On the Optimality of Optimistic Responsiveness,Security,False
More Efficient MPC from Improved Triple Generation and Authenticated Garbling,Security,False
Mnemosyne: An Effective and Efficient Postmortem Watering Hole Attack Investigation System,Security,False
Off-Path TCP Exploits of the Mixed IPID Assignment,Security,False
Secure Single-Server Aggregation with (Poly)Logarithmic Overhead,Security,False
Cache-in-the-Middle (CITM) Attacks : Manipulating Sensitive Data in Isolated Execution Environments,Security,False
HoneyPLC: A Next-Generation Honeypot for Industrial Control Systems,Security,False
T2Pair: Secure and Usable Pairing for Heterogeneous IoT Devices,Security,False
iDEA: Towards Static Analysis on the Security of Apple Kernel Drivers,Security,False
Fast Database Joins and PSI for Secret Shared Data,Security,False
Phantom of the ADAS: Securing Advanced Driver-Assistance Systems from Split-Second Phantom Attacks,Security,False
Game-Set-MATCH: Using Mobile Devices for Seamless External-Facing Biometric Matching,Security,False
RTFM! Automatic Assumption Discovery and Verification Derivation from Library Document for API Misuse Detection,Security,False
Deterministic Wallets in a Quantum World,Security,False
Composite Backdoor Attack for Deep Neural Network by Mixing Existing Benign Features,Security,False
The Signal Private Group System and Anonymous Credentials Supporting Efficient Verifiable Encryption,Security,False
Harnessing the Ambient Radio Frequency Noise for Wearable Device Pairing,Security,False
Speculative Probing: Hacking Blind in the Spectre Era,Security,False
Estimating g-Leakage via Machine Learning,Security,False
"Asynchronous Distributed Key Generation for Computationally Secure Randomness, Consensus, and Threshold Signatures",Security,False
WI is almost enough: Contingent (Service) Payment all over again,Security,False
SNI-in-the-head: Protecting MPC-in-the-head Protocols against Side-channel Analysis,Security,False
BlackMirror: Preventing Wallhacks in 3D Online FPS Games,Security,False
Everything is a Race and Nakamoto Always Wins,Security,False
Enhancing State-of-the-art Classifiers with API Semantics to Detect Evolved Android Malware,Security,False
Tight Consistency Bounds for Bitcoin,Security,False
Déjà vu: Side-channel analysis of Mozilla's NSS,Security,False
Asynchronous Remote Key Generation: An Analysis of Yubico's Proposal for W3C WebAuthn,Security,False
Impersonation-as-a-Service: Characterizing the Emerging Criminal Infrastructure for User Impersonation at Scale,Security,False
Is the Classical GMW Paradigm Practical? The Case of Non-Interactive Actively Secure 2PC,Security,False
Ligero++: A New Optimized Sublinear IOP,Security,False
Practical Lattice-Based Zero-Knowledge Proofs for Integer Relations,Security,False
"UC Non-Interactive, Proactive, Threshold ECDSA with Identifiable Aborts",Security,False
