Title,Category,Best Paper
Introducing Peripheral Awareness as a Neurological State for Human-computer Integration,Software Engineering,False
Venous Materials: Towards Interactive Fluidic Mechanisms,Software Engineering,False
Considering Parents in Coding Kit Design: Understanding Parents' Perspectives and Roles,Software Engineering,False
If I Hear You Correctly: Building and Evaluating Interview Chatbots with Active Listening Skills,Software Engineering,False
BlyncSync: Enabling Multimodal Smartwatch Gestures with Synchronous Touch and Blink,Software Engineering,False
Making Space for Social Sharing: Insights from a Community-Based Social Group for People with Dementia,Software Engineering,False
Phasking on Paper: Accessing a Continuum of PHysically Assisted SKetchING,Software Engineering,True
Peer-to-Peer Energy Markets: Understanding the Values of Collective and Community Trading,Software Engineering,True
AirTouch: 3D-printed Touch-Sensitive Objects Using Pneumatic Sensing,Software Engineering,False
Digital Liminalities: Understanding Isolated Communities on the Edge,Software Engineering,False
Mouillé: Exploring Wetness Illusion on Fingertips to Enhance Immersive Experience in VR,Software Engineering,False
Replicate and Reuse: Tangible Interaction Design for Digitally-Augmented Physical Media Objects,Software Engineering,False
FDHelper: Assist Unsupervised Fraud Detection Experts with Interactive Feature Selection and Evaluation,Software Engineering,False
Understanding Walking Meetings: Drivers and Barriers,Software Engineering,False
Listen to Developers! A Participatory Design Study on Security Warnings for Cryptographic APIs,Software Engineering,False
ReCog: Supporting Blind People in Recognizing Personal Objects,Software Engineering,False
Breaking The Experience: Effects of Questionnaires in VR User Studies,Software Engineering,False
"""Hey Model!"" – Natural User Interactions and Agency in Accessible Interactive 3D Models",Software Engineering,False
Meta-AR-App: An Authoring Platform for Collaborative Augmented Reality in STEM Classrooms,Software Engineering,False
PenSight: Enhanced Interaction with a Pen-Top Camera,Software Engineering,True
From Data to Insights: A Layered Storytelling Approach for Multimodal Learning Analytics,Software Engineering,False
Computing Students' Learning Difficulties in HCI Education,Software Engineering,False
Evaluating 'Prefer not to say' Around Sensitive Disclosures,Software Engineering,False
Proximate Social Factors in First-Time Contribution to Online Communities,Software Engineering,False
Data-driven Multi-level Segmentation of Image Editing Logs,Software Engineering,False
Data Everyday: Data Literacy Practices in a Division I College Sports Context,Software Engineering,True
TalkingBoogie: Collaborative Mobile AAC System for Non-verbal Children with Developmental Disabilities and Their Caregivers,Software Engineering,True
texSketch: Active Diagramming through Pen-and-Ink Annotations,Software Engineering,True
"""Out of Luck"": Socio-Economic Differences in Student Coping Responses to Technology Problems",Software Engineering,False
Exploring Auditory Information to Change Users' Perception of Time Passing as Shorter,Software Engineering,False
Place-Based Policymaking and HCI: Opportunities and Challenges for Technology Design,Software Engineering,False
Designing Clinical AAC Tablet Applications with Adults who have Mild Intellectual Disabilities,Software Engineering,True
Pronto: Rapid Augmented Reality Video Prototyping Using Sketches and Enaction,Software Engineering,False
Student Engagement in Sensitive Design Contexts: A Case Study in Dementia Care,Software Engineering,False
"Social Acceptability in HCI: A Survey of Methods, Measures, and Design Strategies",Software Engineering,True
Does Smartphone Use Drive our Emotions or vice versa? A Causal Analysis,Software Engineering,False
EAST: Early Autism Screening Tool for Preschoolers,Software Engineering,False
Why Johnny Can't Unsubscribe: Barriers to Stopping Unwanted Email,Software Engineering,False
Making Chat at Home in the Hospital: Exploring Chat Use by Nurses,Software Engineering,False
The Politics of Privacy Theories: Moving from Norms to Vulnerabilities,Software Engineering,True
What is this URL's Destination? Empirical Evaluation of Users' URL Reading,Software Engineering,False
"""Arseing around was Fun!"" – Humor as a Resource in Design and Making",Software Engineering,False
Understanding the Care Ecologies of Veterans with PTSD,Software Engineering,False
Self-Expression by Design: Co-Designing the ExpressiBall with Minimally-Verbal Children on the Autism Spectrum,Software Engineering,False
DataQuilt: Extracting Visual Elements from Images to Craft Pictorial Visualizations,Software Engineering,False
EYEditor: Towards On-the-Go Heads-Up Text Editing Using Voice and Manual Input,Software Engineering,False
"""No powers, man!"": A Student Perspective on Designing University Smart Building Interactions",Software Engineering,False
"""I Hear You, I Feel You"": Encouraging Deep Self-disclosure through a Chatbot",Software Engineering,False
