Title,Category,Best Paper
Dual Super-Resolution Learning for Semantic Segmentation,Computer Vision,FALSE
Deep Unfolding Network for Image Super-Resolution,Computer Vision,FALSE
Unsupervised Learning for Intrinsic Image Decomposition From a Single Image,Computer Vision,FALSE
COCAS: A Large-Scale Clothes Changing Person Dataset for Re-Identification,Computer Vision,FALSE
Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference,Computer Vision,FALSE
Alleviation of Gradient Exploding in GANs: Fake Can Be Real,Computer Vision,FALSE
Forward and Backward Information Retention for Accurate Binary Neural Networks,Computer Vision,FALSE
Cooling-Shrinking Attack: Blinding the Tracker With Imperceptible Noises,Computer Vision,FALSE
Zooming Slow-Mo: Fast and Accurate One-Stage Space-Time Video Super-Resolution,Computer Vision,FALSE
A Hierarchical Graph Network for 3D Object Detection on Point Clouds,Computer Vision,FALSE
Online Joint Multi-Metric Adaptation From Frequent Sharing-Subset Mining for Person Re-Identification,Computer Vision,FALSE
Learning to Discriminate Information for Online Action Detection,Computer Vision,FALSE
Video to Events: Recycling Video Datasets for Event Cameras,Computer Vision,FALSE
Bundle Pooling for Polygonal Architecture Segmentation Problem,Computer Vision,FALSE
"Use the Force, Luke! Learning to Predict Physical Forces by Simulating Effects",Computer Vision,FALSE
Articulation-Aware Canonical Surface Mapping,Computer Vision,FALSE
NeuralScale: Efficient Scaling of Neurons for Resource-Constrained Deep Neural Networks,Computer Vision,FALSE
Transfer Learning From Synthetic to Real-Noise Denoising With Adaptive Instance Normalization,Computer Vision,FALSE
Variational Context-Deformable ConvNets for Indoor Scene Parsing,Computer Vision,FALSE
Augmenting Colonoscopy Using Extended and Directional CycleGAN for Lossy Image Translation,Computer Vision,FALSE
BANet: Bidirectional Aggregation Network With Occlusion Handling for Panoptic Segmentation,Computer Vision,FALSE
C2FNAS: Coarse-to-Fine Neural Architecture Search for 3D Medical Image Segmentation,Computer Vision,FALSE
Seeing the World in a Bag of Chips,Computer Vision,FALSE
Cascaded Deep Video Deblurring Using Temporal Sharpness Prior,Computer Vision,FALSE
Reflection Scene Separation From a Single Image,Computer Vision,FALSE
SmallBigNet: Integrating Core and Contextual Views for Video Classification,Computer Vision,FALSE
From Two Rolling Shutters to One Global Shutter,Computer Vision,FALSE
CvxNet: Learnable Convex Decomposition,Computer Vision,FALSE
RoboTHOR: An Open Simulation-to-Real Embodied AI Platform,Computer Vision,FALSE
Style Normalization and Restitution for Generalizable Person Re-Identification,Computer Vision,FALSE
Training Noise-Robust Deep Neural Networks via Meta-Learning,Computer Vision,FALSE
HUMBI: A Large Multiview Dataset of Human Body Expressions,Computer Vision,FALSE
Towards Transferable Targeted Attack,Computer Vision,FALSE
Supervised Raw Video Denoising With a Benchmark Dataset on Dynamic Scenes,Computer Vision,FALSE
FDA: Fourier Domain Adaptation for Semantic Segmentation,Computer Vision,FALSE
SGAS: Sequential Greedy Architecture Search,Computer Vision,FALSE
Instance Segmentation of Biological Images Using Harmonic Embeddings,Computer Vision,FALSE
Rethinking Zero-Shot Video Classification: End-to-End Training for Realistic Applications,Computer Vision,FALSE
A Multigrid Method for Efficiently Training Video Models,Computer Vision,FALSE
Attention-Aware Multi-View Stereo,Computer Vision,FALSE
PPDM: Parallel Point Detection and Matching for Real-Time Human-Object Interaction Detection,Computer Vision,FALSE
PULSE: Self-Supervised Photo Upsampling via Latent Space Exploration of Generative Models,Computer Vision,FALSE
Discrete Model Compression With Resource Constraint for Deep Neural Networks,Computer Vision,FALSE
GhostNet: More Features From Cheap Operations,Computer Vision,FALSE
SDFDiff: Differentiable Rendering of Signed Distance Fields for 3D Shape Optimization,Computer Vision,FALSE
Self2Self With Dropout: Learning Self-Supervised Denoising From Single Image,Computer Vision,FALSE
A Spatiotemporal Volumetric Interpolation Network for 4D Dynamic Medical Image,Computer Vision,FALSE
Where Am I Looking At? Joint Location and Orientation Estimation by Cross-View Matching,Computer Vision,FALSE
Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,Computer Vision,FALSE
Assessing Image Quality Issues for Real-World Problems,Computer Vision,FALSE
Adaptive Dilated Network With Self-Correction Supervision for Counting,Computer Vision,FALSE
Camouflaged Object Detection,Computer Vision,FALSE
"Why Having 10,000 Parameters in Your Camera Model Is Better Than Twelve",Computer Vision,FALSE
BiDet: An Efficient Binarized Object Detector,Computer Vision,FALSE
Searching for Actions on the Hyperbole,Computer Vision,FALSE
SG-NN: Sparse Generative Neural Networks for Self-Supervised Scene Completion of RGB-D Scans,Computer Vision,FALSE
Stereoscopic Flash and No-Flash Photography for Shape and Albedo Recovery,Computer Vision,FALSE
What Can Be Transferred: Unsupervised Domain Adaptation for Endoscopic Lesions Segmentation,Computer Vision,FALSE
Learning to Generate 3D Training Data Through Hybrid Gradient,Computer Vision,FALSE
"On Joint Estimation of Pose, Geometry and svBRDF From a Handheld Scanner",Computer Vision,FALSE
Synchronizing Probability Measures on Rotations via Optimal Transport,Computer Vision,FALSE
Camera Trace Erasing,Computer Vision,FALSE
Robust 3D Self-Portraits in Seconds,Computer Vision,FALSE
Instance Shadow Detection,Computer Vision,FALSE
MemNAS: Memory-Efficient Neural Architecture Search With Grow-Trim Learning,Computer Vision,FALSE
Deep Distance Transform for Tubular Structure Segmentation in CT Scans,Computer Vision,FALSE
FineGym: A Hierarchical Video Dataset for Fine-Grained Action Understanding,Computer Vision,FALSE
What Does Plate Glass Reveal About Camera Calibration?,Computer Vision,FALSE
One Man's Trash Is Another Man's Treasure: Resisting Adversarial Examples by Adversarial Examples,Computer Vision,FALSE
Image Processing Using Multi-Code GAN Prior,Computer Vision,FALSE
ColorFool: Semantic Adversarial Colorization,Computer Vision,FALSE
Bi3D: Stereo Depth Estimation via Binary Classifications,Computer Vision,FALSE
"D3VO: Deep Depth, Deep Pose and Deep Uncertainty for Monocular Visual Odometry",Computer Vision,FALSE
Fantastic Answers and Where to Find Them: Immersive Question-Directed Visual Attention,Computer Vision,FALSE
Dynamic Multiscale Graph Neural Networks for 3D Skeleton Based Human Motion Prediction,Computer Vision,FALSE
"Total3DUnderstanding: Joint Layout, Object Pose and Mesh Reconstruction for Indoor Scenes From a Single Image",Computer Vision,FALSE
GPS-Net: Graph Property Sensing Network for Scene Graph Generation,Computer Vision,FALSE
Through the Looking Glass: Neural 3D Reconstruction of Transparent Shapes,Computer Vision,FALSE
Recursive Social Behavior Graph for Trajectory Prediction,Computer Vision,FALSE
Attention Scaling for Crowd Counting,Computer Vision,FALSE
FocalMix: Semi-Supervised Learning for 3D Medical Image Detection,Computer Vision,FALSE
Bi-Directional Relationship Inferring Network for Referring Image Segmentation,Computer Vision,FALSE
FastDVDnet: Towards Real-Time Deep Video Denoising Without Flow Estimation,Computer Vision,FALSE
Composed Query Image Retrieval Using Locally Bounded Features,Computer Vision,FALSE
Variational-EM-Based Deep Learning for Noise-Blind Image Deblurring,Computer Vision,FALSE
Central Similarity Quantization for Efficient Image and Video Retrieval,Computer Vision,FALSE
Taking a Deeper Look at Co-Salient Object Detection,Computer Vision,FALSE
Celeb-DF: A Large-Scale Challenging Dataset for DeepFake Forensics,Computer Vision,FALSE
TEA: Temporal Excitation and Aggregation for Action Recognition,Computer Vision,FALSE
Unsupervised Person Re-Identification via Softened Similarity Learning,Computer Vision,FALSE
Frequency Domain Compact 3D Convolutional Neural Networks,Computer Vision,FALSE
Revisiting Saliency Metrics: Farthest-Neighbor Area Under Curve,Computer Vision,FALSE
Structured Compression by Weight Encryption for Unstructured Pruning and Quantization,Computer Vision,FALSE
ARCH: Animatable Reconstruction of Clothed Humans,Computer Vision,FALSE
Deep Implicit Volume Compression,Computer Vision,FALSE
Multi-Domain Learning for Accurate and Few-Shot Color Constancy,Computer Vision,FALSE
Computing the Testing Error Without a Testing Set,Computer Vision,FALSE
Conditional Channel Gated Networks for Task-Aware Continual Learning,Computer Vision,FALSE
Polishing Decision-Based Adversarial Noise With a Customized Sampling,Computer Vision,FALSE
G2L-Net: Global to Local Network for Real-Time 6D Pose Estimation With Embedding Vector Features,Computer Vision,FALSE
Pattern-Structure Diffusion for Multi-Task Learning,Computer Vision,FALSE
On the Acceleration of Deep Learning Model Parallelism With Staleness,Computer Vision,FALSE
Self-Supervised Scene De-Occlusion,Computer Vision,FALSE
DeepFLASH: An Efficient Network for Learning-Based Medical Image Registration,Computer Vision,FALSE
Structure Boundary Preserving Segmentation for Medical Image With Ambiguous Boundary,Computer Vision,FALSE
Residual Feature Aggregation Network for Image Super-Resolution,Computer Vision,FALSE
Context-Aware and Scale-Insensitive Temporal Repetition Counting,Computer Vision,FALSE
DEPARA: Deep Attribution Graph for Deep Knowledge Transferability,Computer Vision,FALSE
Disentangling and Unifying Graph Convolutions for Skeleton-Based Action Recognition,Computer Vision,FALSE
Category-Level Articulated Object Pose Estimation,Computer Vision,FALSE
ImVoteNet: Boosting 3D Object Detection in Point Clouds With Image Votes,Computer Vision,FALSE
Achieving Robustness in the Wild via Adversarial Mixing With Disentangled Representations,Computer Vision,FALSE
Deep Non-Line-of-Sight Reconstruction,Computer Vision,FALSE
Unsupervised Adaptation Learning for Hyperspectral Imagery Super-Resolution,Computer Vision,FALSE
Joint Demosaicing and Denoising With Self Guidance,Computer Vision,FALSE
SpSequenceNet: Semantic Segmentation Network on 4D Point Clouds,Computer Vision,FALSE
Shoestring: Graph-Based Semi-Supervised Classification With Severely Limited Labeled Data,Computer Vision,FALSE
