Title,Category,Best Paper
ECHO: Efficiently Overbooking Applications to Create a Highly Available Cloud1,Distributed System,False
A Novel Timestamping Mechanism for Clouds and Its Application on Available Bandwidth Estimation12,Distributed System,False
MEER: Online Estimation of Optimal Memory Reservations for Long Lived Containers in In-Memory Cluster Computing23,Distributed System,False
An Online Mechanism for Purchasing IaaS Instances and Scheduling Pleasingly Parallel Jobs in Cloud Computing Environments35,Distributed System,False
Reducing Flow Completion Time with Replaceable Redundant Packets in Data Center Networks46,Distributed System,False
Improving TCP Robustness over Asymmetry with Reordering Marking and Coding in Data Centers57,Distributed System,False
SpeedyBox: Low-Latency NFV Service Chains with Cross-NF Runtime Consolidation68,Distributed System,False
HyScale: Hybrid and Network Scaling of Dockerized Microservices in Cloud Data Centres80,Distributed System,False
A Tight Lower Bound for Relaxed Loop-Free Updates in SDNs91,Distributed System,False
Taming Latency in Data Centers Via Active Congestion-Probing101,Distributed System,False
Reco: Efficient Regularization-Based Coflow Scheduling in Optical Circuit Switches111,Distributed System,False
MIRAS: Model-based Reinforcement Learning for Microservice Resource Allocation over Scientific Workflows122,Distributed System,False
Online Collection and Forecasting of Resource Utilization in Large-Scale Distributed Systems133,Distributed System,False
Trading Private Range Counting over Big IoT Data144,Distributed System,False
Probabilistic Skyline Computation on Vertically Distributed Uncertain Data154,Distributed System,False
Catfish: Adaptive RDMA-enabled R-Tree for Low Latency and High Throughput164,Distributed System,False
Simois: A Scalable Distributed Stream Join System with Skewed Workloads176,Distributed System,False
Co-scheduler: Accelerating Data-Parallel Jobs in Datacenter Networks with Optical Circuit Switching186,Distributed System,False
Falcon: Towards Computation-Parallel Deep Learning in Heterogeneous Parameter Server196,Distributed System,False
LACS: Load-Aware Cache Sharing with Isolation Guarantee207,Distributed System,False
Thresholded Monitoring in Distributed Data Streams218,Distributed System,False
Local Graph Edge Partitioning with a Two-Stage Heuristic Method228,Distributed System,False
IPSO: A Scaling Model for Data-Intensive Applications238,Distributed System,False
Smoother: A Smooth Renewable Power-Aware Middleware249,Distributed System,False
The Cask Effect of Multi-source Content Delivery: Measurement and Mitigation261,Distributed System,False
OCStore: Accelerating Distributed Object Storage with Open-Channel SSDs271,Distributed System,False
PandaSync: Network and Workload Aware Hybrid Cloud Sync Optimization282,Distributed System,False
One Size Never Fits All: A Flexible Storage Interface for SSDs293,Distributed System,False
PaRiS: Causally Consistent Transactions with Non-blocking Reads and Partial Replication304,Distributed System,False
Beyond QoE: Diversity Adaption in Video Streaming at the Edge317,Distributed System,False
Influence Maximization at Community Level: A New Challenge with Non-submodularity327,Distributed System,False
