Title,Category,Best Paper
A Block Decomposition Algorithm for Sparse Optimization,Data Mining,FALSE
A causal look at statistical definitions of discrimination,Data Mining,FALSE
A Data Driven Graph Generative Model for Temporal Interaction Networks,Data Mining,FALSE
A Framework for Recommending Accurate and Diverse Items Using Bayesian Graph Convolutional Neural Networks,Data Mining,FALSE
A Geometric Approach to Predicting Bounds of Downstream Model Performance,Data Mining,FALSE
A Non-Iterative Quantile Change Detection Method in Mixture Model with Heavy-Tailed Components,Data Mining,FALSE
A Novel Deep Learning Model by Stacking Conditional Restricted Boltzmann Machine and Deep Neural Network,Data Mining,FALSE
Adaptive Graph Encoder for Attributed Graph Embedding,Data Mining,FALSE
Adversarial Infidelity Learning for Model Interpretation,Data Mining,FALSE
AdvMind: Inferring Adversary Intent of Black-Box Attacks,Data Mining,FALSE
Algorithmic Aspects of Temporal Betweenness,Data Mining,FALSE
Algorithmic Decision Making with Conditional Fairness,Data Mining,FALSE
Aligning Superhuman AI with Human Behavior: Chess as a Model System,Data Mining,FALSE
ALO-NMF: Accelerated Locality-Optimized Non-negative Matrix Factorization,Data Mining,FALSE
AM-GCN: Adaptive Multi-channel Graph Convolutional Networks,Data Mining,FALSE
An Efficient Neighborhood-based Interaction Model for Recommendation on Heterogeneous Graph,Data Mining,FALSE
An Embarrassingly Simple Approach for Trojan Attack in Deep Neural Networks,Data Mining,FALSE
ASGN: An Active Semi-supervised  Graph Neural Network for Molecular Property Prediction,Data Mining,FALSE
Attackability Characterization of Adversarial Evasion Attack on Discrete Data,Data Mining,FALSE
Attention and Memory-Augmented Networks for Dual-View Sequential Learning,Data Mining,FALSE
Attentional Multi-graph Convolutional Network for Regional Economy Prediction with Open Migration Data,Data Mining,FALSE
AutoGrow: Automatic Layer Growing in Deep Convolutional Networks,Data Mining,FALSE
AutoML Pipeline Selection: Efficiently Navigating the Combinatorial Space,Data Mining,FALSE
AutoShuffleNet: Learning Permutation Matrices via an Exact Lipschitz Continuous Penalty in Deep Convolutional Neural Networks,Data Mining,FALSE
AutoST: Efficient Neural Architecture Search for Spatio-Temporal Prediction,Data Mining,FALSE
