,Unnamed: 0,Unnamed: 0.1,title,abstract,affiliation_code,affiliation_name,affiliation_city,affiliation_country,category,average_length,polarity,subjectivity,passive_active,verb_ratio,noun_ratio,prof_ratio
0,0,0,Box-driven class-wise region masking and filling rate guided loss for weakly supervised semantic segmentation,"Semantic segmentation has achieved huge progress via adopting deep Fully Convolutional Networks (FCN). However, the performance of FCN based models severely rely on the amounts of pixel-level annotations which are expensive and time-consuming. To address this problem, it is a good choice to learn to segment with weak supervision from bounding boxes. How to make full use of the class-level and region-level supervisions from bounding boxes is the critical challenge for the weakly supervised learning task. In this paper, we first introduce a box-driven class-wise masking model (BCM) to remove irrelevant regions of each class. Moreover, based on the pixel-level segment proposal generated from the bounding box supervision, we could calculate the mean filling rates of each class to serve as an important prior cue, then we propose a filling rate guided adaptive loss (FR-Loss) to help the model ignore the wrongly labeled pixels in proposals. Unlike previous methods directly training models with the fixed individual segment proposals, our method can adjust the model learning with global statistical information. Thus it can help reduce the negative impacts from wrongly labeled proposals. We evaluate the proposed method on the challenging PASCAL VOC 2012 benchmark and compare with other methods. Extensive experimental results show that the proposed method is effective and achieves the state-of-the-art results.",60027363,University of Chinese Academy of Sciences,Beijing,China,"['1712', '1707']",21.3,-0.005929487179487176,0.5575320512820514,1,0.16666666666666666,0.027131782945736434,0.3516949152542373
1,1,1,The role of polarization in the multiple reflections modeling, All rights reserved.This article shows a new mathematical model for calculation of multiple reflections based on the Stokes vector and Mueller matrices. The global illumination equation and local estimations method were generalized on the polarization case. The results of the calculation of multiple reflections using the local estimations method show a difference of more than 30% between the standard calculation and the polarization-accounting one. A way to describe the surface reflection with polarization account is proposed.,60005913,National Research University Moscow Power Engineering Institute,Moscow,Russian Federation,"['1712', '1704']",19.25,0.0707070707070707,0.10606060606060606,0,0.10465116279069768,0.023255813953488372,0.24691358024691357
2,2,2,Building detail-sensitive semantic segmentation networks with polynomial pooling,"Semantic segmentation is an important computer vision task, which aims to allocate a semantic label to each pixel in an image. When training a segmentation model, it is common to fine-tune a classification network pre-trained on a large-scale dataset. However, as an intrinsic property of the classification model, invariance to spatial perturbation resulting from the lose of detail-sensitivity prevents segmentation networks from achieving high performance. The use of standard poolings is one of the key factors for this invariance. The most common standard poolings are max and average pooling. Max pooling can increase both the invariance to spatial perturbations and the non-linearity of the networks. Average pooling, on the other hand, is sensitive to spatial perturbations, but is a linear function. For semantic segmentation, we prefer both the preservation of detailed cues within a local feature region and non-linearity that increases a network's functional complexity. In this work, we propose a polynomial pooling (P-pooling) function that finds an intermediate form between max and average pooling to provide an optimally balanced and self-adjusted pooling strategy for semantic segmentation. The P-pooling is differentiable and can be applied into a variety of pre-trained networks. Extensive studies on the PASCAL VOC, Cityscapes and ADE20k datasets demonstrate the superiority of P-pooling over other poolings. Experiments on various network architectures and state-of-the-art training strategies also show that models with P-pooling layers consistently outperform those directly fine-tuned using pre-trained classification models.",60019499,Chinese Academy of Sciences,Beijing,China,"['1712', '1707']",19.5,0.030500000000000006,0.4561666666666667,1,0.09556313993174062,0.023890784982935155,0.3281853281853282
3,3,3,Fuzzy utility mining under minimum weight constraint of multiple item weights,"In this paper, we extend Lan et al.'s fuzzy utility mining approach to handle different weights for items. To address this issue, an efficient algorithm called the weighted fuzzy utility mining is proposed to efficiently discover high weighted fuzzy utility itemsets. However, the weighted fuzzy utility mining problem cannot hold the downward-closure property. We thus design an upper-bound model to prevent information loss in mining. Based on this model, we suggest a two-stage method for weighted fuzzy utility mining. Finally, some experiments are conducted to show the performance of the proposed approach.",60110772,Western Norway University of Applied Sciences,Bergen,Norway,"['1706', '1712']",15.333333333333336,0.05333333333333334,0.7133333333333333,1,0.16071428571428573,0.03571428571428571,0.3018867924528302
4,4,4,Deliver an accurate image on the digital certificate and digital signature using RSA and SHA," All rights reserved.In this paper primary objective is to convey an exact image on the ideas of Digital Certificate and Digital Signature, by showing the hypothesis and applications of two of the fundamental public-key cryptosystems used nowadays, namely the RSA and the SHA. Here three software applications have been designed, one for creating a self signed certificate, that useful for certifying authority for issuing the Digital Certificate to user, second one is generation of X.509 Digital Certificate by taking the request from the user and sign the request by using Certifying Authority private key (Root Certificate private key), and last one is the creation of Digital Signature and verifying it. All modules have been implemented in java.",60114321,P.V.P.Siddhartha Institute Of Technology,Vijayawada,India,['1700'],39.333333333333336,0.06333333333333332,0.2444444444444445,0,0.11278195488721804,0.12781954887218044,0.359375
5,5,5,RangeNet ++: Fast and Accurate LiDAR Semantic Segmentation,"Perception in autonomous vehicles is often carried out through a suite of different sensing modalities. Given the massive amount of openly available labeled RGB data and the advent of high-quality deep learning algorithms for image-based recognition, high-level semantic perception tasks are pre-dominantly solved using high-resolution cameras. As a result of that, other sensor modalities potentially useful for this task are often ignored. In this paper, we push the state of the art in LiDAR-only semantic segmentation forward in order to provide another independent source of semantic information to the vehicle. Our approach can accurately perform full semantic segmentation of LiDAR point clouds at sensor frame rate. We exploit range images as an intermediate representation in combination with a Convolutional Neural Network (CNN) exploiting the rotating LiDAR sensor model. To obtain accurate results, we propose a novel post-processing algorithm that deals with problems arising from this intermediate representation such as discretization errors and blurry CNN outputs. We implemented and thoroughly evaluated our approach including several comparisons to the state of the art. Our experiments show that our approach outperforms state-of-the-art approaches, while still running online on a single embedded GPU. The code can be accessed at https://github.com/PRBonn/lidar-bonnetal.",60007493,Universität Bonn,Bonn,Germany,"['1712', '1707', '1706']",19.6,0.14668367346938774,0.4379251700680272,1,0.12017167381974249,0.030042918454935622,0.3581395348837209
6,6,6,On fairness-aware learning for non-discriminative decision-making,"Algorithmic data-driven decision-making systems are becoming increasingly automated and have enjoyed tremendous success in a variety of application domains. More recently, these systems are increasingly being used to render all sort of socially-sensitive decisions. Yet, these automated decisions can lead, even in the absence of an intention, to a lack of fairness in the sense that members sharing one or more sensitive attributes are being treated unequally. In this paper, we handle unfairness in both online and offline settings. We introduce an algorithm-agnostic learning mechanism for optimal and non-discriminative decision-making as appropriate. This translates to a fairness-aware learning schema which can be immediately applied to most existing algorithms and to general decision-making tasks in dynamic settings with join data distribution changes over time.",60024997,"University of Maryland, Baltimore County",Baltimore,United States,"['1706', '1712']",20.5,0.2862179487179487,0.4897435897435898,1,0.12666666666666668,0.006666666666666667,0.34328358208955223
7,7,7,Efficient attribute reduction with submodular function optimization,"Attribute Reduction problem is an important content in Rough Set theory, which has been proven to be NP-hard. It tends to find a subset of attributes that preserve the same discriminatory power as the entire attributes. Heuristics methods are used to find the minimum attribute subset. In this paper, we use three typical heuristic methods to do Attribute Reduction. They are positive-region-based, discernibility-matrix-based and mutual-information-based Attribute Reduction algorithm. Experimental results validate that all the three algorithms have good performance on classification for symbolic data. However, the computational complexity of the three Attribute Reduction algorithms are all O(n^2), so it s hard to apply them to massive data. In order to improve the efficiency of the three Attribute Reduction algorithms, we remodel the objective of them from the perspective of Submodular Function Optimization with submodular optimization strategies. We first optimize the attribute selection process with Lazy-Greedy strategy and then extend the serial algorithm to a parallel version according to the parallel optimization strategy of submodular functions. Experimental results validate that the efficiency of the proposed Attribute Reduction algorithms.",60023813,Shanghai University,Shanghai,China,"['1706', '1712']",17.7,0.07083333333333333,0.4303571428571428,1,0.09523809523809523,0.08571428571428572,0.34183673469387754
8,8,8,Learning channel-wise interactions for binary convolutional neural networks,"In this paper, we propose a channel-wise interaction based binary convolutional neural network learning method (CI-BCNN) for efficient inference. Conventional methods apply xnor and bitcount operations in binary convolution with notable quantization error, which usually obtains inconsistent signs in binary feature maps compared with their full-precision counterpart and leads to significant information loss. In contrast, our CI-BCNN mines the channel-wise interactions, through which prior knowledge is provided to alleviate inconsistency of signs in binary feature maps and preserves the information of input samples during inference. Specifically, we mine the channel-wise interactions by a reinforcement learning model, and impose channel-wise priors on the intermediate feature maps through the interacted bitcount function. Extensive experiments on the CIFAR-10 and ImageNet datasets show that our method outperforms the state-of-the-art binary convolutional neural networks with less computational and storage cost.",60025278,Tsinghua University,Beijing,China,"['1712', '1707']",27.0,0.04506802721088436,0.3403061224489797,1,0.07738095238095238,0.02976190476190476,0.34459459459459457
9,10,10,High-quality face capture using anatomical muscles,"Muscle-based systems have the potential to provide both anatomical accuracy and semantic interpretability as compared to blendshape models; however, a lack of expressivity and differentiability has limited their impact. Thus, we propose modifying a recently developed rather expressive muscle-based system in order to make it fully-differentiable; in fact, our proposed modifications allow this physically robust and anatomically accurate muscle model to conveniently be driven by an underlying blendshape basis. Our formulation is intuitive, natural, as well as monolithically and fully coupled such that one can differentiate the model from end to end, which makes it viable for both optimization and learning-based approaches for a variety of applications. We illustrate this with a number of examples including both shape matching of three-dimensional geometry as as well as the automatic determination of a three-dimensional facial pose from a single two-dimensional RGB image without using markers or depth information.",60012708,Stanford University,Palo Alto,United States,"['1712', '1707']",36.5,0.1051948051948052,0.40303030303030296,1,0.11627906976744186,0.0,0.26582278481012656
