,Unnamed: 0,title,abstract,affiliation_code,affiliation_name,affiliation_city,affiliation_country,category,average_length,polarity,subjectivity,passive_active
0,0,Does defence expenditure crowd out human capital expenditure? An empirical investigation in south asia,"Military expenditure and human capital expenditure are important components of central government expenditure. It has been accepted that high and increasing military expenditure may crowd out resources from human development expenditure, as the sources of government revenue are limited. The purpose of this study is to examine the relationship between military expenditure and, education and health expenditure in conflict affected five countries in South Asia, namely, Bangladesh, India, Nepal, Pakistan and Sri Lanka from the period 1980 to 2014, by applying the ARDL bounds test approach to cointegration and VECM Granger causality method. The finding of this study shows a significant negative effect of military expenditure on both health and education expenditure in several countries in South Asia. Moreover, it also provides an evidence for Granger causality in the long-run and in the short-run in most of the countries in South Asia. In addition, the findings of this study serve as a guide to the government and the policy-makers should take rigorous steps to minimize military expenditure through preventing conflict and enhancing good governance, which eventually enhance investment in human development.",60002763,Universiti Utara Malaysia,Sintok,Malaysia,['1700'],30.166666666666668,0.07432773109243698,0.30046218487394954,1
1,1,Influence of process and technology factors in successful implementation of CRM in private sector banks,"The Banking Industry in India has undergone a rapid changes followed by a series of fundamental developments. In the present Indian Banking Scenario, The Influence of Processes and technology has revolutionized banking services and practices. Observation on the recent restructuring, rebranding and reengineering efforts of many banks, states that the key motive is to utilize customer centricity as a strategy. Most of the Banks have invested in technology enabled Customer Relationship Management Software to utilize Customer information for enhancing business opportunities and access to customer support. Customer Relationship Management has become inevitable for growth and profitability of Banks in present scenario marked by rising competition, technological advancement and empowered customers. The CRM practices are adopted to generate better understanding of the customer for product development, segmentation, appropriate targeting, campaign management and maintenance of long term profitable and mutually beneficial relationships with customers. Thus, CRM is a logical progression of Core Banking Solution for Indian banks. CRM is a combination of human factors, maintenance factors, process factors, technological factors and strategic management practices. Hence the present research encounters primarily with the process and technological factors responsible for successful CRM practices in Banking Sectors. Several studies argued that the close relationship with customers will require a strong coordination between information technology and marketing departments to provide a long-term retention of selected customers. Therefore it is an attempt to identify Predominant process and technological factors for the success of CRM practices. This research depends upon primary data obtained from bank Employees in different private sector banks in Chennai city. The convenient sampling method is found useful to obtain the responses through a structured questionnaire. The application of factor analysis by principal component method derived 4 predominant factors namely, Quick process, Transparent process, Advanced technology and Secured technology. The study also emphasized the importance of process and technology for the successful CRM in banks which enhances service of Banks and customer loyalty.",60076897,Anna Adarsh College for Women,Chennai,India,['1700'],21.2,0.2432098765432099,0.43919753086419744,1
2,2,Use of virtual reality in musculoskeletal conditions - Examining the evidence,"We examined the effectiveness of virtual reality (VR) platforms in the rehabilitation of common musculoskeletal conditions such as arthritis, shoulder pain, low back pain, ankle and wrist injuries. A systematic review was conducted using standard methodology. The Downs and Black Questionnaire helped assess study quality. Effect sizes helped quantify intervention effectiveness. Seven studies met the inclusion criteria. The studies described VR interventions in a variety of conditions such as low back pain, ankle sprains, post total knee replacement, carpal tunnel syndrome and shoulder pain. The quality of retrieved studies ranged from poor to good. Effect sizes ranged from 0.15 to 0.9. Despite limited evidence, use of VR in musculoskeletal conditions looks promising.",60018573,University of Texas Health Science Center at San Antonio,San Antonio,United States,['1705'],12.444444444444445,-0.002721088435374154,0.36615646258503404,1
3,3,A systematic computerized training program for using Sensory Substitution Devices in real-life,"In the past decades, Sensory Substitution Devices (SSDs) have been widely used as a research tool to unravel the properties of the sensory brain. Although their rehabilitation potential is repeatedly demonstrated, SSDs were never widely adopted by blind individuals in everyday life, except for a few super-users' cases. One reason explaining this gap is the lack of structured SSD training programs for everyday use. We thus developed an ambitious computerized SSD training program using the EyeMusic visual-to-auditory SSD and gathered 10 blind participants to test its efficiency. Participants were trained to identify pictures of real objects from different categories (e.g., furniture). For each category, we tested the performance of participants before training and again after 10 hours of dedicated training. The test included both trained and untrained stimuli. The 10 hours training program involved a combination of static stimuli and dynamic computer games and was individually adapted to participants' learning pace. Initial results show that after training, participants achieved significantly higher accuracy rates in object recognition compared to baseline for trained and most importantly, for untrained objects from the same category. This further supports the suitability of SSDs in everyday life, and thus propels their adoption for this purpose.",60007903,Hebrew University of Jerusalem,Jerusalem,Israel,['1705'],19.9,0.004347826086956528,0.4923913043478261,1
4,4,Adoption and popularity of adult education,"Adult education is a process to give the adults new dimension of knowledge and skills; values and attitude in well organized way so that they become able to perform better in the society. This may goes beyond the traditional school education that is to give basic literacy to personal fulfillment. All nations require adult education for the economic development as life-long learning is being recognized by educational institutions. In this scenario, many countries are adopting adult education and this sort of education is taking popularity due to its wide scope. This study focused on the overview of adoption and popularity of adult education. The objective of the study was to analyze that how important is the adult education for society development. Furthermore, it was studied that how much this type of education is helpful in overcoming the educational need of the nation. In this research, a documentary analysis along with some experimental execution was taken from policies, available literature, research articles and any other related information to analyze and discuss the adoption and popularity from global perspectives. The study concluded that to achieve the goal of economic growth is only possible when all masses will be engaged irrespective of gender and age. As now international educational institutions are offering continuing education, online courses, distance education, non formal education etc. In which learners and teachers are far from each other but teaching-learning process is the critical factor during the whole educational cycle, so it is recommended that for the economic development, it is dire need to focus on the access of adult education.",60059937,National University of Sciences and Technology Pakistan,Islamabad,Pakistan,['1700'],23.818181818181817,0.12529904306220097,0.39156698564593306,1
5,5,Enterprise risk management and corporate governance strategic: Emerging firm value,"As of late, a change in outlook has happened with respect to the way organizations view risk management. The pattern now is to take a holistic view of risk management instead of looking at it from a silo-based perspective. An enterprise risk management (ERM) is commonly referred as holistic approach toward managing an organization’s risk. For decades, risk management has been a fundamental focus for top managements, particularly in multinationals. Given the benefit of creating greater awareness on the risks potentially faced by the firm, the proponents of enterprise risk management (ERM) also allows for decision-makers to gauge the firm’s ability and resilience towards such risks and subsequently enables the formulation of strategies to mitigate such issues. In today’s dynamic global environment, the importance of enterprise risk management has accelerated and expanded to include enterprise of all forms and sizes.",60104614,Taylor's University Malaysia,Subang Jaya,Malaysia,['1700'],23.333333333333332,0.012820512820512818,0.41923076923076924,1
6,6,Developing a library management system for managing the books: A suggested model in the central library of cihan university-erbil,"library management system (LMS) is considered as an advanced way to collect, organize, and process the essential data from library which relates to the borrowing,returning and reservation of a book, our purpose was to develop an LMS for the central library of Cihan University-Erbil in order to solve the issues of the traditional way of managing the library that they use, because it is very slow when it comes to issuing and reissuing of books and prone to errors all of the time, and by using Visual basic.net tool the researcher builds the suggested system. the research’s problem is using the traditional way of managing the resources of the library, which results in a lot of errors, in addition to wasting the time, cost, and misplace and lose of the books of the library, the study’s questions can be clarified by the following: a) does the library have an electronic system for book issuing? B) does the library have enough infrastructure to execute the suggested model? C) does the way of working in the current system prevents book loss, misplace, ruining and ripping the pages of the book?, the objectives of the research are: developing a library management system that is considered as an electronic way of checking the books issuing, suggesting a model that solves the problems of missing, misplacing and not returning the books of the library on time, simplifying the work of librarians and borrowers by the borrowing and returning system, in addition to designing a printable library ID that can be produced as an outcome of the system.",122402009,Cihan University,Erbil,Iraq,['1700'],131.0,-0.017272727272727276,0.3836363636363636,1
7,7,A certain investigations on web security threats and phishing website detection techniques,"Phishing websites is most found security threat in the real world web based application. The phishing website threats leads to steal personal identity information from the users by pretending them like genuine websites. There is various research methods has been introduced earlier for the detection of phishing websites. In this analysis work, discussion of different phishing detection techniques that are introduced by various researchers has been discussion. This work provides the different working procedure adapted by earlier techniques to ensure the increased detection rate. This work concentrates mainly about the data classification algorithms that are utilized in the earlier research to predict the phishing attacks. This is done by studying and analysing the working performance of phishing detection in terms of various performance metrics namely accuracy and detection rate. This analysis work also provides the discussion of the phishing website attack detection methods and compared them based on their merits and demerits. Finally comparison of the earlier techniques is performed under different performance metrics. The overall numerical evaluation and the performance comparison prove that the proposed research technique can lead to optimal outcome in terms of accurate phishing website attack detection.",60079446,K L Deemed to be University,Vaddeswaram,India,['1700'],19.1,0.09259259259259262,0.4925925925925925,1
8,8,Are there any relationship between components of coping styles and health anxiety of divorced women?,"The purpose of the study was to investigate the role of ways of coping with health anxiety among Andimeshk divorced women in Iran. This study was a descriptive – correlation study. The population in this study included women who got divorced in Andimeshk in the first half of last year. Before,divorced women referred to the Family Intervention Center, affiliated to the Social Welfare Department to reduce the divorce. Among population (90 people) by simple random sampling 73 (of Morgan table) as samples were selected. Data collection tools include Lazarus and Folkman ways of coping questionnaire (1985), Salkovskis, and Warwick Health anxiety questionnaire (2002). Results: To analyze the data, Pearson correlation coefficient and multiple linear regressionhave used,the results showed that there is a significant negative relationship between the ways of copingIncluded: distancing style, seeking social support, problem solving, positive reappraisal and health anxiety with divorced women in Andimeshk. Based on the results, this relationship was not significant amongdirect confronting coping, self-controlling and Escape Avoidance style with health anxiety.",60107655,"Islamic Azad University, Boroujerd Branch",Borujerd,Iran,['1700'],20.875,-0.025786713286713284,0.33481518481518474,1
9,9,A study and analysis on sustainable business models for Indian automotive industry,"Automotive Industry is facing huge challenges in transforming their business to digital in a sustainable way. Indian Automotive Industry is going through lot of changes when it comes to adoption of new emerging technologies and they believe in investing on digital technologies is the only way to sustain in the competitive environment. Companies implementing Industry 4.0 based solutions to improve productivity, quality, operational efficiency and effectiveness, digital supply chain, etc. Automotive companies caught between conventional product manufacturing and revolutionary value added services that built on the products. For example, producing cars and providing car-sharing service, this requires major disruption in the business model and most of the automotive manufacturers are convinced that only the data will empower the new sustainable business models in the automotive sector. Digital ecosystem and the new business models support automotive industry in generating new revenue streams. Automotive industries focusing on building new age services for autonomous driving, car-sharing, connected-vehicles, digital supply chain, electric vehicles, location based services, etc., All these new age services requires new innovative business models and that requires strong history data to support and this is by creating digital services and eco-system. Digital technologies is going to be dictate the automotive industry in every phase of the product life cycle and emerging technologies going to rule the market and competition. In spite of small, medium, or large enterprise, the original equipment manufacturer or component manufacturer, every single organization is needs to transform digitally to build their sustainable growth. This sustainable growth of automotive industry realized only with power of data and innovative business models.",60016712,Alagappa University,Karaikudi,India,['1700'],26.2,0.1291792929292929,0.4555050505050504,1
