,Computer Science Applications,Computer Networks and Communications,Information Systems,Computational Theory and Mathematics,Software,General Computer Science,Human-Computer Interaction,Computer Graphics and Computer-Aided Design,Computer Vision and Pattern Recognition,Artifical Intelligence,Signal Processing,Hardware and Architecture
0,data,data,data,point,data,data,research,vision,research,subgraphs,data,algorithm
1,network,network,network,order,power,model,information,low,information,segmentation,power,proposed
2,based,paper,based,free,network,csp,data,tools,data,significant,network,data
3,cloud,using,cloud,second,using,based,analysis,vr,analysis,network,using,based
4,proposed,based,proposed,vertical,paper,implementation,model,support,model,small,paper,performance
5,paper,power,paper,solution,model,method,tourism,people,network,probabilistic,based,decoding
6,using,used,using,upper,time,use,paper,complete,tourism,methods,algorithm,polar
7,algorithm,time,algorithm,outer,used,rights,development,seeingvr,paper,primary,used,learning
8,iot,proposed,iot,fluid,based,reserved,network,14,development,using,learning,method
9,used,model,energy,plate,systems,used,china,application,china,networks,systems,hardware
10,energy,information,used,surface,research,language,entrepreneurship,developers,entrepreneurship,objects,time,network
11,information,systems,information,problem,learning,using,based,unity,based,representation,model,design
12,performance,energy,performance,method,control,paper,logistics,toolkit,method,logic,proposed,neural
13,security,cloud,security,using,information,time,reviews,current,logistics,learning,performance,puf
14,time,iot,time,corner,results,systems,innovation,virtual,reviews,recent,design,complexity
15,computing,algorithm,computing,lagrangian,analysis,sme,index,reality,significant,challenging,results,paper
16,communication,performance,communication,shapes,use,processes,method,applications,innovation,problem,control,architecture
17,systems,security,systems,surfaces,energy,process,job,loss,learning,effectively,method,error
18,method,learning,networks,leading,method,analysis,financial,falls,index,deep,energy,channel
19,networks,method,method,description,design,programming,life,short,job,convolution,use,results
